species allocseed lmr m0 maxmass mseed dist pestab gmax sla palat memo rar growth mthres clonal meanspacerlength sdspacerlength resshare allocspacer mspacer mycstat
PFT13clonal1 0.05 0.75 1 5000 1 0.1 0.5 60 0.75 0.5 2 1 0.25 0.2 1 2.5 2.5 1 0.05 70 FM
PFT13clonal2 0.05 0.75 1 5000 1 0.1 0.5 60 0.75 0.5 2 1 0.25 0.2 1 2.5 2.5 0 0.05 70 FM
PFT17clonal4 0.05 0.5 0.3 2000 0.3 0.3 0.5 60 0.75 0.5 2 1 0.25 0.2 1 17.5 12.5 0 0.05 70 FM
PFT23 0.05 0.75 0.3 2000 0.3 0.3 0.5 60 0.5 0.25 2 1 0.25 0.2 0 0 0 0 0 0 FM
PFT23clonal1 0.05 0.75 0.3 2000 0.3 0.3 0.5 60 0.5 0.25 2 1 0.25 0.2 1 2.5 2.5 1 0.05 70 FM
PFT23clonal3 0.05 0.75 0.3 2000 0.3 0.3 0.5 60 0.5 0.25 2 1 0.25 0.2 1 17.5 12.5 1 0.05 70 FM
PFT25clonal4 0.05 0.5 1 5000 1 0.1 0.5 60 0.5 0.25 2 1 0.25 0.2 1 17.5 12.5 0 0.05 70 FM
PFT27clonal4 0.05 0.5 0.1 1000 0.1 0.6 0.5 60 0.5 0.25 2 1 0.25 0.2 1 17.5 12.5 0 0.05 70 FM
PFT30 0.05 1 0.1 1000 0.1 0.6 0.5 40 1 1 4 1 0.25 0.2 0 0 0 0 0 0 FM
PFT32clonal1 0.05 0.75 0.3 2000 0.3 0.3 0.5 40 1 1 4 1 0.25 0.2 1 2.5 2.5 1 0.05 70 FM
PFT32clonal3 0.05 0.75 0.3 2000 0.3 0.3 0.5 40 1 1 4 1 0.25 0.2 1 17.5 12.5 1 0.05 70 FM
PFT32clonal4 0.05 0.75 0.3 2000 0.3 0.3 0.5 40 1 1 4 1 0.25 0.2 1 17.5 12.5 0 0.05 70 FM
PFT33clonal1 0.05 0.75 0.1 1000 0.1 0.6 0.5 40 1 1 4 1 0.25 0.2 1 2.5 2.5 1 0.05 70 NM
PFT35 0.05 0.5 0.3 2000 0.3 0.3 0.5 40 1 1 4 1 0.25 0.2 0 0 0 0 0 0 FM
PFT36clonal1 0.05 0.5 0.1 1000 0.1 0.6 0.5 40 1 1 4 1 0.25 0.2 1 2.5 2.5 1 0.05 70 FM
PFT36clonal3 0.05 0.5 0.1 1000 0.1 0.6 0.5 40 1 1 4 1 0.25 0.2 1 17.5 12.5 1 0.05 70 FM
PFT36clonal4 0.05 0.5 0.1 1000 0.1 0.6 0.5 40 1 1 4 1 0.25 0.2 1 17.5 12.5 0 0.05 70 FM
PFT4 0.05 0.75 1 5000 1 0.1 0.5 60 1 1 2 1 0.25 0.2 0 0 0 0 0 0 FM
PFT42clonal3 0.05 0.75 0.1 1000 0.1 0.6 0.5 40 0.75 0.5 4 1 0.25 0.2 1 17.5 12.5 1 0.05 70 FM
PFT45clonal4 0.05 0.5 0.1 1000 0.1 0.6 0.5 40 0.75 0.5 4 1 0.25 0.2 1 17.5 12.5 0 0.05 70 FM
PFT47clonal2 0.05 1 0.3 2000 0.3 0.3 0.5 40 0.5 0.25 4 1 0.25 0.2 1 2.5 2.5 0 0.05 70 FM
PFT51clonal2 0.05 0.75 0.1 1000 0.1 0.6 0.5 40 0.5 0.25 4 1 0.25 0.2 1 2.5 2.5 0 0.05 70 FM
PFT54clonal4 0.05 0.5 0.1 1000 0.1 0.6 0.5 40 0.5 0.25 4 1 0.25 0.2 1 17.5 12.5 0 0.05 70 FM
PFT59clonal3 0.05 0.75 0.3 2000 0.3 0.3 0.5 20 1 1 6 1 0.25 0.2 1 17.5 12.5 1 0.05 70 FM
PFT5clonal2 0.05 0.75 0.3 2000 0.3 0.3 0.5 60 1 1 2 1 0.25 0.2 1 2.5 2.5 0 0.05 70 FM
PFT6 0.05 0.75 0.1 1000 0.1 0.6 0.5 60 1 1 2 1 0.25 0.2 0 0 0 0 0 0 FM
PFT60clonal1 0.05 0.75 0.1 1000 0.1 0.6 0.5 20 1 1 6 1 0.25 0.2 1 2.5 2.5 1 0.05 70 FM
PFT63clonal4 0.05 0.5 0.1 1000 0.1 0.6 0.5 20 1 1 6 1 0.25 0.2 1 17.5 12.5 0 0.05 70 FM

