species allocseed lmr m0 maxmass mseed dist pestab gmax sla palat memo rar growth mthres clonal meanspacerlength sdspacerlength resshare allocspacer mspacer mycstat
PFT13 0.05 0.75 1 5000 1 0.1 0.5 60 0.75 0.5 2 1 0.25 0.2 0 0 0 0 0 0 OM
PFT14 0.05 0.75 0.3 2000 0.3 0.3 0.5 60 0.75 0.5 2 1 0.25 0.2 0 0 0 0 0 0 OM
PFT14clonal1 0.05 0.75 0.3 2000 0.3 0.3 0.5 60 0.75 0.5 2 1 0.25 0.2 1 2.5 2.5 1 0.05 70 OM
PFT14clonal3 0.05 0.75 0.3 2000 0.3 0.3 0.5 60 0.75 0.5 2 1 0.25 0.2 1 17.5 12.5 1 0.05 70 OM
PFT15 0.05 0.75 0.1 1000 0.1 0.6 0.5 60 0.75 0.5 2 1 0.25 0.2 0 0 0 0 0 0 OM
PFT17clonal3 0.05 0.5 0.3 2000 0.3 0.3 0.5 60 0.75 0.5 2 1 0.25 0.2 1 17.5 12.5 1 0.05 70 OM
PFT23clonal2 0.05 0.75 0.3 2000 0.3 0.3 0.5 60 0.5 0.25 2 1 0.25 0.2 1 2.5 2.5 0 0.05 70 OM
PFT26clonal4 0.05 0.5 0.3 2000 0.3 0.3 0.5 60 0.5 0.25 2 1 0.25 0.2 1 17.5 12.5 0 0.05 70 OM
PFT29clonal1 0.05 1 0.3 2000 0.3 0.3 0.5 40 1 1 4 1 0.25 0.2 1 2.5 2.5 1 0.05 70 OM
PFT30clonal1 0.05 1 0.1 1000 0.1 0.6 0.5 40 1 1 4 1 0.25 0.2 1 2.5 2.5 1 0.05 70 OM
PFT33 0.05 0.75 0.1 1000 0.1 0.6 0.5 40 1 1 4 1 0.25 0.2 0 0 0 0 0 0 OM
PFT33clonal3 0.05 0.75 0.1 1000 0.1 0.6 0.5 40 1 1 4 1 0.25 0.2 1 17.5 12.5 1 0.05 70 OM
PFT33clonal4 0.05 0.75 0.1 1000 0.1 0.6 0.5 40 1 1 4 1 0.25 0.2 1 17.5 12.5 0 0.05 70 OM
PFT35clonal3 0.05 0.5 0.3 2000 0.3 0.3 0.5 40 1 1 4 1 0.25 0.2 1 17.5 12.5 1 0.05 70 OM
PFT36 0.05 0.5 0.1 1000 0.1 0.6 0.5 40 1 1 4 1 0.25 0.2 0 0 0 0 0 0 OM
PFT39 0.05 1 0.1 1000 0.1 0.6 0.5 40 0.75 0.5 4 1 0.25 0.2 0 0 0 0 0 0 OM
PFT41 0.05 0.75 0.3 2000 0.3 0.3 0.5 40 0.75 0.5 4 1 0.25 0.2 0 0 0 0 0 0 OM
PFT41clonal1 0.05 0.75 0.3 2000 0.3 0.3 0.5 40 0.75 0.5 4 1 0.25 0.2 1 2.5 2.5 1 0.05 70 OM
PFT41clonal3 0.05 0.75 0.3 2000 0.3 0.3 0.5 40 0.75 0.5 4 1 0.25 0.2 1 17.5 12.5 1 0.05 70 OM
PFT42clonal1 0.05 0.75 0.1 1000 0.1 0.6 0.5 40 0.75 0.5 4 1 0.25 0.2 1 2.5 2.5 1 0.05 70 OM
PFT44clonal1 0.05 0.5 0.3 2000 0.3 0.3 0.5 40 0.75 0.5 4 1 0.25 0.2 1 2.5 2.5 1 0.05 70 OM
PFT45 0.05 0.5 0.1 1000 0.1 0.6 0.5 40 0.75 0.5 4 1 0.25 0.2 0 0 0 0 0 0 OM
PFT48 0.05 1 0.1 1000 0.1 0.6 0.5 40 0.5 0.25 4 1 0.25 0.2 0 0 0 0 0 0 OM
PFT48clonal1 0.05 1 0.1 1000 0.1 0.6 0.5 40 0.5 0.25 4 1 0.25 0.2 1 2.5 2.5 1 0.05 70 OM
PFT48clonal2 0.05 1 0.1 1000 0.1 0.6 0.5 40 0.5 0.25 4 1 0.25 0.2 1 2.5 2.5 0 0.05 70 OM
PFT48clonal3 0.05 1 0.1 1000 0.1 0.6 0.5 40 0.5 0.25 4 1 0.25 0.2 1 17.5 12.5 1 0.05 70 OM
PFT4clonal3 0.05 0.75 1 5000 1 0.1 0.5 60 1 1 2 1 0.25 0.2 1 17.5 12.5 1 0.05 70 OM
PFT50clonal1 0.05 0.75 0.3 2000 0.3 0.3 0.5 40 0.5 0.25 4 1 0.25 0.2 1 2.5 2.5 1 0.05 70 OM
PFT51 0.05 0.75 0.1 1000 0.1 0.6 0.5 40 0.5 0.25 4 1 0.25 0.2 0 0 0 0 0 0 OM
PFT51clonal1 0.05 0.75 0.1 1000 0.1 0.6 0.5 40 0.5 0.25 4 1 0.25 0.2 1 2.5 2.5 1 0.05 70 OM
PFT54clonal3 0.05 0.5 0.1 1000 0.1 0.6 0.5 40 0.5 0.25 4 1 0.25 0.2 1 17.5 12.5 1 0.05 70 OM
PFT5clonal1 0.05 0.75 0.3 2000 0.3 0.3 0.5 60 1 1 2 1 0.25 0.2 1 2.5 2.5 1 0.05 70 OM
PFT5clonal3 0.05 0.75 0.3 2000 0.3 0.3 0.5 60 1 1 2 1 0.25 0.2 1 17.5 12.5 1 0.05 70 OM
PFT60 0.05 0.75 0.1 1000 0.1 0.6 0.5 20 1 1 6 1 0.25 0.2 0 0 0 0 0 0 OM
PFT62 0.05 0.5 0.3 2000 0.3 0.3 0.5 20 1 1 6 1 0.25 0.2 0 0 0 0 0 0 OM
PFT62clonal1 0.05 0.5 0.3 2000 0.3 0.3 0.5 20 1 1 6 1 0.25 0.2 1 2.5 2.5 1 0.05 70 OM
PFT62clonal3 0.05 0.5 0.3 2000 0.3 0.3 0.5 20 1 1 6 1 0.25 0.2 1 17.5 12.5 1 0.05 70 OM
PFT63 0.05 0.5 0.1 1000 0.1 0.6 0.5 20 1 1 6 1 0.25 0.2 0 0 0 0 0 0 OM
PFT68clonal1 0.05 0.75 0.3 2000 0.3 0.3 0.5 20 0.75 0.5 6 1 0.25 0.2 1 2.5 2.5 1 0.05 70 OM
PFT69clonal1 0.05 0.75 0.1 1000 0.1 0.6 0.5 20 0.75 0.5 6 1 0.25 0.2 1 2.5 2.5 1 0.05 70 OM
PFT77clonal4 0.05 0.75 0.3 2000 0.3 0.3 0.5 20 0.5 0.25 6 1 0.25 0.2 1 17.5 12.5 0 0.05 70 OM
PFT8 0.05 0.5 0.3 2000 0.3 0.3 0.5 60 1 1 2 1 0.25 0.2 0 0 0 0 0 0 OM
PFT81 0.05 0.5 0.1 1000 0.1 0.6 0.5 20 0.5 0.25 6 1 0.25 0.2 0 0 0 0 0 0 OM
PFT81clonal3 0.05 0.5 0.1 1000 0.1 0.6 0.5 20 0.5 0.25 6 1 0.25 0.2 1 17.5 12.5 1 0.05 70 OM
PFT8clonal3 0.05 0.5 0.3 2000 0.3 0.3 0.5 60 1 1 2 1 0.25 0.2 1 17.5 12.5 1 0.05 70 OM
